;_id;available;connected;download_date;station;free;open;ticket;total;updated
0;5c6050a42554172704fccdc0;9;1;2019-02-10 17:25:37.787;64;11;1;0;20;2019-02-10 17:21:13.000
1;5c6050a42554172704fccdc1;6;1;2019-02-10 17:25:37.787;73;14;1;1;20;2019-02-10 17:24:13.000
2;5c605be225541729b7d50885;20;1;2019-02-10 18:13:39.827;63;0;1;1;20;2019-02-10 18:09:16.000
3;5c605be225541729b7d50886;6;1;2019-02-10 18:13:39.827;64;14;1;0;20;2019-02-10 18:12:15.000
4;5c605be225541729b7d50887;9;1;2019-02-10 18:13:39.827;65;10;1;1;19;2019-02-10 18:09:16.000
5;5c605be225541729b7d50888;22;1;2019-02-10 18:13:39.827;66;3;1;0;25;2019-02-10 18:12:15.000
6;5c605be225541729b7d50889;14;1;2019-02-10 18:13:39.827;67;0;1;0;14;2019-02-10 18:09:16.000
7;5c605be225541729b7d5088a;11;1;2019-02-10 18:13:39.827;68;8;1;1;20;2019-02-10 18:12:15.000
8;5c605be225541729b7d5088b;21;1;2019-02-10 18:13:39.827;69;4;1;0;25;2019-02-10 18:09:16.000
9;5c605be225541729b7d5088c;19;1;2019-02-10 18:13:39.827;71;1;1;1;20;2019-02-10 18:12:15.000
10;5c605be225541729b7d5088d;1;1;2019-02-10 18:13:39.827;72;14;1;0;15;2019-02-10 18:09:16.000
11;5c605be225541729b7d5088e;7;1;2019-02-10 18:13:39.827;73;13;1;1;20;2019-02-10 18:12:15.000
12;5c605be225541729b7d5088f;6;1;2019-02-10 18:13:39.827;74;14;1;1;20;2019-02-10 18:09:16.000
13;5c605be225541729b7d50890;2;1;2019-02-10 18:13:39.827;75;23;1;1;25;2019-02-10 18:12:15.000
14;5c605be225541729b7d50891;9;1;2019-02-10 18:13:39.827;76;10;1;1;19;2019-02-10 18:09:16.000
15;5c605be225541729b7d50892;19;1;2019-02-10 18:13:39.827;78;1;1;1;20;2019-02-10 18:12:15.000
16;5c605be225541729b7d50893;13;1;2019-02-10 18:13:39.827;79;6;1;0;20;2019-02-10 18:09:16.000
17;5c605be225541729b7d50894;25;1;2019-02-10 18:13:39.827;80;0;1;0;25;2019-02-10 18:12:15.000
18;5c605be225541729b7d50895;15;1;2019-02-10 18:13:39.827;81;5;1;0;20;2019-02-10 18:12:15.000
19;5c605be225541729b7d50896;1;1;2019-02-10 18:13:39.827;85;22;1;0;23;2019-02-10 18:09:16.000
20;5c605be225541729b7d50897;2;1;2019-02-10 18:13:39.827;87;31;1;1;33;2019-02-10 18:12:15.000
21;5c605be225541729b7d50898;6;1;2019-02-10 18:13:39.827;88;34;1;1;40;2019-02-10 18:09:16.000
22;5c605be225541729b7d50899;16;1;2019-02-10 18:13:39.827;92;4;1;1;20;2019-02-10 18:12:15.000
23;5c605be225541729b7d5089a;13;1;2019-02-10 18:13:39.827;94;7;1;0;20;2019-02-10 18:09:16.000
24;5c605be225541729b7d5089b;3;1;2019-02-10 18:13:39.827;96;18;1;1;21;2019-02-10 18:12:15.000
25;5c605be225541729b7d5089c;1;1;2019-02-10 18:13:39.827;97;22;1;0;23;2019-02-10 18:09:16.000
26;5c605be225541729b7d5089d;1;1;2019-02-10 18:13:39.827;98;14;1;1;15;2019-02-10 18:12:15.000
27;5c605be225541729b7d5089e;11;1;2019-02-10 18:13:39.827;99;10;1;1;21;2019-02-10 18:09:16.000
28;5c605be225541729b7d5089f;19;1;2019-02-10 18:13:39.827;100;1;1;0;20;2019-02-10 18:12:15.000
29;5c605be225541729b7d508a0;30;1;2019-02-10 18:13:39.827;101;0;1;1;30;2019-02-10 18:09:16.000
30;5c605be225541729b7d508a1;18;1;2019-02-10 18:13:39.827;102;2;1;0;20;2019-02-10 18:12:15.000
31;5c605be225541729b7d508a2;2;1;2019-02-10 18:13:39.827;103;13;1;0;15;2019-02-10 18:09:16.000
32;5c605be225541729b7d508a3;7;1;2019-02-10 18:13:39.827;108;8;1;1;15;2019-02-10 18:12:15.000
33;5c605be225541729b7d508a4;20;1;2019-02-10 18:13:39.827;109;0;1;1;20;2019-02-10 18:09:16.000
34;5c605be225541729b7d508a5;19;1;2019-02-10 18:13:39.827;117;11;1;1;30;2019-02-10 18:12:15.000
35;5c605be225541729b7d508a6;5;1;2019-02-10 18:13:39.827;150;19;1;0;25;2019-02-10 18:09:16.000
36;5c605be225541729b7d508a7;19;1;2019-02-10 18:13:39.827;151;1;1;0;20;2019-02-10 18:12:15.000
37;5c605be225541729b7d508a8;15;1;2019-02-10 18:13:39.827;154;0;1;0;15;2019-02-10 18:09:16.000
38;5c605be225541729b7d508a9;15;1;2019-02-10 18:13:39.827;158;0;1;0;15;2019-02-10 18:12:15.000
